Item Name,Price,Quantity,Date
GERAMONT CLASSIC,2.22,2,2025-01-02
BIO EMMENTAL GER,1.79,1,2025-01-02
KAROTTE BIO,1.49,1,2025-01-02
BIO SUESSR-BUTT.,3.49,1,2025-01-02
SOJAGURT NATUR,1.11,4,2025-01-02
SULTANINEN,1.19,4,2025-01-02
GERAMONT CLASSIC,2.22,2,2025-01-03
"BIO FR.MILCH 3,8",1.25,1,2025-01-03
SOJAGURT NATUR,1.11,3,2025-01-03
BACKKAKAO,1.99,2,2025-01-03
MAGNESIUM,2.79,3,2025-01-03
TEMPO TASCHENT.,2.35,1,2025-01-03
SOJAGURT NATUR,1.39,2,2025-01-09
CORNFLAKES,1.69,1,2025-01-09
SULTANINEN,1.19,2,2025-01-09
BRATOEL,2.85,1,2025-01-09
ZWIEBEL ROT,1.19,1,2025-01-09
ROSENKOHL,0.89,1,2025-01-09
MANDELDRINK,1.79,1,2025-01-09
BIO HAFERDRINK,0.95,1,2025-01-09
SOJAGURT NATUR,1.39,3,2025-01-09
KOKOSM.CREMIG,1.29,2,2025-01-09
PASSIERTE TOMATE,1.19,1,2025-01-09
STUECKIGE TOMATE,1.19,1,2025-01-09
SOJAGURT NATUR,1.39,4,2025-01-11
SULTANINEN,1.19,2,2025-01-11
BANANENCHIPS,2.49,1,2025-01-13
GEMUESE RAVIOLI,1.49,1,2025-01-13
VEG.AVIOLI BOLO.,1.49,1,2025-01-13
MILDESSA 3 MIN.,2.19,1,2025-01-13
OFEN CHIPS,1.11,1,2025-01-13
AUFSTRICH ROTE B,1.25,1,2025-01-14
AUFSTRICH CASHKR,1.25,1,2025-01-14
EDAMAME ERBSE,1.25,1,2025-01-14
BE HAPPY TEE,2.99,1,2025-01-14
LITTLE DREAMER,2.99,1,2025-01-14
BALANCEBROT,2.29,1,2025-01-16
ZWIEBEL LAUCH,0.55,1,2025-01-16
ROSENKOHL,1.29,1,2025-01-16
CHAMPIGNONS BR,1.49,1,2025-01-16
GEMUESE RAVIOLI,1.49,2,2025-01-16
BANANENCHIPS,2.49,1,2025-01-17
VEGANE SCHNITZEL,3.39,1,2025-01-17
ZWIEBEL ROT,1.19,1,2025-01-20
KNOBLAUCH,0.99,1,2025-01-20
VEGANE SCHNITZEL,3.39,1,2025-01-20
PASSIERTE TOMATE,1.19,3,2025-01-20
PORREE,0.69,1,2025-01-23
BIO HAFERKLEIE,1.89,1,2025-01-23
SERB.BOHNENSUPPE,1.99,2,2025-01-23
WESTF.LINSENEINT,1.99,2,2025-01-23
PASSIERTE TOMATE,1.19,2,2025-01-23
OM3 MINZFRISCH,1.59,1,2025-01-23
KARTOFFELN,2.22,1,2025-01-24
KAROTTE REWE PP,1.19,1,2025-01-24
WEIZEN MEHL,0.99,1,2025-01-24
OLIV.GRUEN O.ST.,1.99,1,2025-01-24
GETR. TOMATEN,1.99,1,2025-01-24
NATURALS ROSMARI,2.19,1,2025-01-24
SOJAGURT NATUR,1.39,1,2025-01-25
ORANGE 60%,1.39,1,2025-01-25
SOJAGURT NATUR,1.39,2,2025-01-27
BIO PESTO ROSSO,2.49,1,2025-01-27
BIO PESTO VERDE,2.49,1,2025-01-27
SOJAGURT NATUR,1.39,2,2025-01-28
PADS SENSEO DECA,3.29,1,2025-01-28
NATURALS ROSMARI,2.19,1,2025-01-29
ZWIEBEL ROT,1.19,1,2025-01-30
SULTANINEN,1.19,4,2025-01-30
GETR. TOMATEN,1.99,1,2025-01-30
TOFFIFEE WHITE,1.49,1,2025-01-30
SOJAGURT NATUR,1.39,1,2025-01-30
VEGANE SCHNITZEL,3.39,1,2025-01-30
PASSIERTE TOMATE,1.19,2,2025-01-30
BIO HAFERKLEIE,1.89,1,2025-01-31
Versch.Sorten,2.19,1,2025-01-31
TOFFIFEE WHITE,1.49,1,2025-01-31
SOJAGURT NATUR,1.39,4,2025-02-01
CORNFLAKES,1.69,1,2025-02-01
Versch.Sorten,2.19,1,2025-02-01
TOFFIFEE WHITE,1.49,1,2025-02-01
SOJAGURT NATUR,1.39,4,2025-02-03
BACKKAKAO,2.19,2,2025-02-03
MAGNESIUM,2.79,3,2025-02-03
SOFT CAKE ORANGE,1.29,1,2025-02-03
PADS SENSEO DECA,3.29,1,2025-02-03
KARTOFFELN,2.22,1,2025-02-07
VEGANE SCHNITZEL,3.39,1,2025-02-07
BIO HAFERKLEIE,1.89,1,2025-02-07
BIO PESTO VERDE,2.49,2,2025-02-07
