Date,Spent
2024-05-15,1.89
2024-05-17,3.28
2024-05-24,2.98
2024-05-27,3.78
2024-05-31,7.96
2024-06-08,4.48
2024-06-10,3.89
2024-06-11,1.99
2024-06-29,2.99
2024-07-10,1.99
2024-07-13,2.98
2024-07-18,5.38
2024-07-23,3.78
2024-07-25,1.89
2024-08-03,5.67
2024-08-10,1.89
2024-08-15,1.89
2024-08-16,1.89
2024-08-27,2.98
2024-09-06,3.97
2024-09-21,9.17
2024-09-28,1.79
2024-10-05,2.58
2024-10-11,5.16
2024-10-21,5.97
2024-10-23,3.87
2024-10-28,5.67
2024-11-05,1.89
2024-11-21,2.19
2024-12-02,1.39
2024-12-09,1.29
2024-12-27,1.89
2024-12-30,4.57
