Date,Spent
2024-05-15,7.45
2024-05-17,2.67
2024-05-21,3.56
2024-05-24,3.56
2024-05-27,8.62
2024-05-31,3.56
2024-06-03,3.56
2024-06-05,2.67
2024-06-08,9.51
2024-06-10,5.67
2024-06-12,3.56
2024-06-14,1.78
2024-06-15,1.78
2024-06-20,15.18
2024-06-21,1.78
2024-06-24,1.78
2024-06-26,3.56
2024-06-28,5.64
2024-07-01,3.56
2024-07-04,3.56
2024-07-05,7.85
2024-07-06,3.56
2024-07-08,3.56
2024-07-11,2.67
2024-07-13,3.56
2024-07-15,2.85
2024-07-16,4.37
2024-07-18,7.49
2024-07-22,6.18
2024-07-23,3.8
2024-07-24,1.99
2024-07-26,6.18
2024-07-27,2.85
2024-07-29,3.8
2024-08-02,8.17
2024-08-03,1.9
2024-08-07,11.06
2024-08-10,3.8
2024-08-12,3.8
2024-08-13,6.77
2024-08-14,1.9
2024-08-16,1.9
2024-08-17,7.97
2024-08-20,3.8
2024-08-24,5.49
2024-08-27,7.49
2024-08-30,3.8
2024-09-04,3.68
2024-09-05,7.24
2024-09-06,2.85
2024-09-10,8.32
2024-09-11,3.8
2024-09-16,7.39
2024-09-17,3.8
2024-09-19,5.23
2024-09-20,5.84
2024-09-21,1.9
2024-09-24,5.7
2024-09-26,8.11
2024-09-27,2.85
2024-09-30,5.84
2024-10-02,3.8
2024-10-07,3.57
2024-10-08,4.47
2024-10-10,6.16
2024-10-11,1.9
2024-10-12,1.9
2024-10-14,1.9
2024-10-16,4.17
2024-10-17,2.34
2024-10-19,2.78
2024-10-21,5.13
2024-10-22,5.86
2024-10-23,7.26
2024-10-25,4.17
2024-10-26,2.78
2024-10-29,4.17
2024-10-31,2.55
2024-11-02,6.47
2024-11-04,0.95
2024-11-05,3.59
2024-11-06,5.56
2024-11-08,6.56
2024-11-09,4.17
2024-11-11,1.39
2024-11-12,4.17
2024-11-14,2.85
2024-11-16,2.78
2024-11-21,4.17
2024-11-22,4.52
2024-11-23,2.78
2024-11-26,5.86
2024-11-28,2.78
2024-11-29,5.98
2024-12-02,4.17
2024-12-03,5.56
2024-12-05,13.7
2024-12-07,4.47
2024-12-16,7.94
2024-12-18,9.85
2024-12-20,7.94
2024-12-27,2.78
2024-12-28,9.24
2024-12-30,7.23
