Date,Animal,Breakfast,Candy,Cereal,Coffee,Cola,Dairy,Dairy Replacement,Discount,Fruit,Hygiene,Lentils,Oil,Pawn,Pawn Payback,Processed Meal Part,Ready Meals,Snacks,Spices,Supplement,Tea,Vegetables,Yoghurt-Meal
2025-01-01,0.0,7.53,9.35,3.28,3.29,0.0,15.41,2.74,0.0,0.0,3.94,0.0,2.85,0.0,0.0,25.39,12.43,7.68,0.0,8.37,5.98,27.07,48.57
2025-02-01,2.99,5.67,14.92,0.0,3.29,0.0,0.0,0.0,0.0,2.83,5.16,0.0,0.0,0.0,0.0,28.37,16.37,21.14,0.0,8.37,5.98,23.61,88.38
2025-03-01,0.0,0.0,6.27,3.29,0.0,6.05,0.0,0.0,-0.38,3.86,5.04,0.0,0.0,1.25,0.0,30.48,10.18,34.4,0.0,10.76,2.99,26.88,116.6
2025-04-01,8.97,8.25,16.63,0.0,0.0,10.46,0.0,3.58,0.0,5.98,0.0,0.0,2.85,2.0,0.0,38.12,15.23,16.45,0.0,0.0,2.99,17.37,72.43
2025-05-01,0.0,0.0,0.0,0.0,0.0,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,7.47,0.0,1.49,0.0,0.0,0.0,0.0,13.5
2025-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
