Date,Category,Spent
10.2024,Animal,2.49
10.2024,Breakfast,1.58
10.2024,Candy,12.33
10.2024,Cereal,0
10.2024,Coffee,0
10.2024,Cola,11.52
10.2024,Dairy,12.4
10.2024,Dairy Replacement,0
10.2024,Discount,-2.88
10.2024,Fruit,3.49
10.2024,Hygiene,1.89
10.2024,Lentils,2.29
10.2024,Oil,1.55
10.2024,Pawn,2.0
10.2024,Pawn Payback,-2.75
10.2024,Processed Meal Part,23.25
10.2024,Ready Meals,11.05
10.2024,Snacks,4.97
10.2024,Spices,0
10.2024,Supplement,0
10.2024,Tea,5.98
10.2024,Vegetables,15.0
10.2024,Yoghurt-Meal,64.91
11.2024,Animal,4.48
11.2024,Breakfast,12.35
11.2024,Candy,33.07
11.2024,Cereal,0.99
11.2024,Coffee,0
11.2024,Cola,9.43
11.2024,Dairy,21.38
11.2024,Dairy Replacement,0
11.2024,Discount,-2.59
11.2024,Fruit,0
11.2024,Hygiene,2.78
11.2024,Lentils,0
11.2024,Oil,1.55
11.2024,Pawn,1.75
11.2024,Pawn Payback,-0.75
11.2024,Processed Meal Part,4.08
11.2024,Ready Meals,33.57
11.2024,Snacks,1.0
11.2024,Spices,0
11.2024,Supplement,0
11.2024,Tea,0
11.2024,Vegetables,17.08
11.2024,Yoghurt-Meal,64.58
12.2024,Animal,5.08
12.2024,Breakfast,8.66
12.2024,Candy,3.59
12.2024,Cereal,0
12.2024,Coffee,0
12.2024,Cola,1.59
12.2024,Dairy,9.72
12.2024,Dairy Replacement,0
12.2024,Discount,0
12.2024,Fruit,0
12.2024,Hygiene,6.66
12.2024,Lentils,4.77
12.2024,Oil,1.55
12.2024,Pawn,0.25
12.2024,Pawn Payback,-1.25
12.2024,Processed Meal Part,9.14
12.2024,Ready Meals,10.65
12.2024,Snacks,1.59
12.2024,Spices,0
12.2024,Supplement,0
12.2024,Tea,1.99
12.2024,Vegetables,39.21
12.2024,Yoghurt-Meal,72.88
