Date,Category,Spent
2025-05,Pawn Payback,0
2025-05,Processed Meal Part,7.47
2025-05,Ready Meals,0
2025-05,Snacks,1.49
2025-05,Spices,0
2025-05,Supplement,0
2025-05,Tea,0
2025-05,Vegetables,0
2025-05,Yoghurt-Meal,13.5
2025-06,Animal,0
2025-06,Breakfast,0
2025-06,Candy,0
2025-06,Cereal,0
2025-06,Coffee,0
2025-06,Cola,0
2025-06,Dairy,0
2025-06,Dairy Replacement,0
2025-06,Discount,0
2025-06,Fruit,0
2025-06,Hygiene,0
2025-06,Lentils,0
2025-06,Oil,0
2025-06,Pawn,0
2025-06,Pawn Payback,0
2025-06,Processed Meal Part,0
2025-06,Ready Meals,0
2025-06,Snacks,0
2025-06,Spices,0
2025-06,Supplement,0
2025-06,Tea,0
2025-06,Vegetables,0
2025-06,Yoghurt-Meal,0
2025-07,Animal,0
2025-07,Breakfast,0
2025-07,Candy,0
2025-07,Cereal,0
2025-07,Coffee,0
2025-07,Cola,0
2025-07,Dairy,0
2025-07,Dairy Replacement,0
2025-07,Discount,0
2025-07,Fruit,0
2025-07,Hygiene,0
2025-07,Lentils,0
2025-07,Oil,0
2025-07,Pawn,0
2025-07,Pawn Payback,0
2025-07,Processed Meal Part,0
2025-07,Ready Meals,0
2025-07,Snacks,0
2025-07,Spices,0
2025-07,Supplement,0
2025-07,Tea,0
2025-07,Vegetables,0
2025-07,Yoghurt-Meal,0
2025-08,Animal,0
2025-08,Breakfast,0
2025-08,Candy,0
2025-08,Cereal,0
2025-08,Coffee,0
2025-08,Cola,0
2025-08,Dairy,0
2025-08,Dairy Replacement,0
2025-08,Discount,0
2025-08,Fruit,0
2025-08,Hygiene,0
2025-08,Lentils,0
2025-08,Oil,0
2025-08,Pawn,0
2025-08,Pawn Payback,0
2025-08,Processed Meal Part,0
2025-08,Ready Meals,0
2025-08,Snacks,0
2025-08,Spices,0
2025-08,Supplement,0
2025-08,Tea,0
2025-08,Vegetables,0
2025-08,Yoghurt-Meal,0
2025-09,Animal,0
2025-09,Breakfast,0
2025-09,Candy,0
2025-09,Cereal,0
2025-09,Coffee,0
2025-09,Cola,0
2025-09,Dairy,0
2025-09,Dairy Replacement,0
2025-09,Discount,0
2025-09,Fruit,0
2025-09,Hygiene,0
2025-09,Lentils,0
2025-09,Oil,0
2025-09,Pawn,0
2025-09,Pawn Payback,0
2025-09,Processed Meal Part,0
2025-09,Ready Meals,0
2025-09,Snacks,0
2025-09,Spices,0
2025-09,Supplement,0
2025-09,Tea,0
2025-09,Vegetables,0
2025-09,Yoghurt-Meal,0
2025-10,Animal,0
2025-10,Breakfast,0
2025-10,Candy,0
2025-10,Cereal,0
2025-10,Coffee,0
2025-10,Cola,0
2025-10,Dairy,0
2025-10,Dairy Replacement,0
2025-10,Discount,0
2025-10,Fruit,0
2025-10,Hygiene,0
2025-10,Lentils,0
2025-10,Oil,0
2025-10,Pawn,0
2025-10,Pawn Payback,0
2025-10,Processed Meal Part,0
2025-10,Ready Meals,0
2025-10,Snacks,0
2025-10,Spices,0
2025-10,Supplement,0
2025-10,Tea,0
2025-10,Vegetables,0
2025-10,Yoghurt-Meal,0
2025-11,Animal,0
2025-11,Breakfast,0
2025-11,Candy,0
2025-11,Cereal,0
2025-11,Coffee,0
2025-11,Cola,0
2025-11,Dairy,0
2025-11,Dairy Replacement,0
2025-11,Discount,0
2025-11,Fruit,0
2025-11,Hygiene,0
2025-11,Lentils,0
2025-11,Oil,0
2025-11,Pawn,0
2025-11,Pawn Payback,0
2025-11,Processed Meal Part,0
2025-11,Ready Meals,0
2025-11,Snacks,0
2025-11,Spices,0
2025-11,Supplement,0
2025-11,Tea,0
2025-11,Vegetables,0
2025-11,Yoghurt-Meal,0
2025-12,Animal,0
2025-12,Breakfast,0
2025-12,Candy,0
2025-12,Cereal,0
2025-12,Coffee,0
2025-12,Cola,0
2025-12,Dairy,0
2025-12,Dairy Replacement,0
2025-12,Discount,0
2025-12,Fruit,0
2025-12,Hygiene,0
2025-12,Lentils,0
2025-12,Oil,0
2025-12,Pawn,0
2025-12,Pawn Payback,0
2025-12,Processed Meal Part,0
2025-12,Ready Meals,0
2025-12,Snacks,0
2025-12,Spices,0
2025-12,Supplement,0
2025-12,Tea,0
2025-12,Vegetables,0
2025-12,Yoghurt-Meal,0
