Date,Category,Spent
2025-01,Animal,0
2025-01,Breakfast,7.53
2025-01,Candy,9.35
2025-01,Cereal,3.28
2025-01,Coffee,3.29
2025-01,Cola,0
2025-01,Dairy,15.41
2025-01,Dairy Replacement,2.74
2025-01,Discount,0
2025-01,Fruit,0
2025-01,Hygiene,3.94
2025-01,Lentils,0
2025-01,Oil,2.85
2025-01,Pawn,0
2025-01,Pawn Payback,0
2025-01,Processed Meal Part,25.39
2025-01,Ready Meals,12.43
2025-01,Snacks,7.68
2025-01,Spices,0
2025-01,Supplement,8.37
2025-01,Tea,5.98
2025-01,Vegetables,27.07
2025-01,Yoghurt-Meal,48.57
2025-02,Animal,2.99
2025-02,Breakfast,5.67
2025-02,Candy,14.92
2025-02,Cereal,0
2025-02,Coffee,3.29
2025-02,Cola,0
2025-02,Dairy,0
2025-02,Dairy Replacement,0
2025-02,Discount,0
2025-02,Fruit,2.83
2025-02,Hygiene,5.16
2025-02,Lentils,0
2025-02,Oil,0
2025-02,Pawn,0
2025-02,Pawn Payback,0
2025-02,Processed Meal Part,28.37
2025-02,Ready Meals,16.37
2025-02,Snacks,21.14
2025-02,Spices,0
2025-02,Supplement,8.37
2025-02,Tea,5.98
2025-02,Vegetables,23.61
2025-02,Yoghurt-Meal,88.38
2025-03,Animal,0
2025-03,Breakfast,0
2025-03,Candy,6.27
2025-03,Cereal,3.29
2025-03,Coffee,0
2025-03,Cola,6.05
2025-03,Dairy,0
2025-03,Dairy Replacement,0
2025-03,Discount,-0.38
2025-03,Fruit,3.86
2025-03,Hygiene,5.04
2025-03,Lentils,0
2025-03,Oil,0
2025-03,Pawn,1.25
2025-03,Pawn Payback,0
2025-03,Processed Meal Part,30.48
2025-03,Ready Meals,10.18
2025-03,Snacks,34.4
2025-03,Spices,0
2025-03,Supplement,10.76
2025-03,Tea,2.99
2025-03,Vegetables,26.88
2025-03,Yoghurt-Meal,116.6
2025-04,Animal,8.97
2025-04,Breakfast,8.25
2025-04,Candy,16.63
2025-04,Cereal,0
2025-04,Coffee,0
2025-04,Cola,10.46
2025-04,Dairy,0
2025-04,Dairy Replacement,3.58
2025-04,Discount,0
2025-04,Fruit,5.98
2025-04,Hygiene,0
2025-04,Lentils,0
2025-04,Oil,2.85
2025-04,Pawn,2.0
2025-04,Pawn Payback,0
2025-04,Processed Meal Part,38.12
2025-04,Ready Meals,15.23
2025-04,Snacks,16.45
2025-04,Spices,0
2025-04,Supplement,0
2025-04,Tea,2.99
2025-04,Vegetables,17.37
2025-04,Yoghurt-Meal,72.43
2025-05,Animal,0
2025-05,Breakfast,0
2025-05,Candy,0
2025-05,Cereal,0
2025-05,Coffee,0
2025-05,Cola,2.22
2025-05,Dairy,0
2025-05,Dairy Replacement,0
2025-05,Discount,0
2025-05,Fruit,0
2025-05,Hygiene,0
2025-05,Lentils,0
2025-05,Oil,0
2025-05,Pawn,0.5
