Category,Spent
Animal,11.96
Breakfast,21.45
Candy,47.17
Cereal,6.57
Coffee,6.58
Cola,18.73
Dairy,15.41
Dairy Replacement,6.32
Discount,-0.38
Fruit,12.67
Hygiene,14.14
Lentils,0
Oil,5.7
Pawn,3.75
Pawn Payback,0
Processed Meal Part,129.83
Ready Meals,54.21
Snacks,81.16
Spices,0
Supplement,27.5
Tea,17.94
Vegetables,94.93
Yoghurt-Meal,339.48
